
  8  0  0  0  0  0  0  ♚  0
  7  0  0  0  0  0  0  0  ♙
  6  0  0  0  0  ♞  ♛  0  0
  5  0  0  0  0  0  0  0  0
  4  0  ♞  ♕  0  0  0  0  0
  3  0  0  0  0  0  ♘  0  0
  2  0  ♘  0  0  0  0  0  0
  1  0  0  0  0  0  0  ♔  0
     A  B  C  D  E  F  G  H

Halfmove clock count: 0
Side to play: Black
Castling rights:
  - White kingside: no
  - White queenside: no
  - Black kingside: no
  - Black queenside: no
En passant square: -
Generated Moves:
From: b4, to: a2, capture: false, promotion: none, en passant: false
From: b4, to: c2, capture: false, promotion: none, en passant: false
From: b4, to: d3, capture: false, promotion: none, en passant: false
From: b4, to: d5, capture: false, promotion: none, en passant: false
From: b4, to: a6, capture: false, promotion: none, en passant: false
From: b4, to: c6, capture: false, promotion: none, en passant: false
From: e6, to: d4, capture: false, promotion: none, en passant: false
From: e6, to: f4, capture: false, promotion: none, en passant: false
From: e6, to: c5, capture: false, promotion: none, en passant: false
From: e6, to: g5, capture: false, promotion: none, en passant: false
From: e6, to: c7, capture: false, promotion: none, en passant: false
From: e6, to: g7, capture: false, promotion: none, en passant: false
From: e6, to: d8, capture: false, promotion: none, en passant: false
From: e6, to: f8, capture: false, promotion: none, en passant: false
From: f6, to: b2, capture: true, promotion: none, en passant: false
From: f6, to: c3, capture: false, promotion: none, en passant: false
From: f6, to: f3, capture: true, promotion: none, en passant: false
From: f6, to: d4, capture: false, promotion: none, en passant: false
From: f6, to: f4, capture: false, promotion: none, en passant: false
From: f6, to: h4, capture: false, promotion: none, en passant: false
From: f6, to: e5, capture: false, promotion: none, en passant: false
From: f6, to: f5, capture: false, promotion: none, en passant: false
From: f6, to: g5, capture: false, promotion: none, en passant: false
From: f6, to: g6, capture: false, promotion: none, en passant: false
From: f6, to: h6, capture: false, promotion: none, en passant: false
From: f6, to: e7, capture: false, promotion: none, en passant: false
From: f6, to: f7, capture: false, promotion: none, en passant: false
From: f6, to: g7, capture: false, promotion: none, en passant: false
From: f6, to: d8, capture: false, promotion: none, en passant: false
From: f6, to: f8, capture: false, promotion: none, en passant: false
From: f6, to: h8, capture: false, promotion: none, en passant: false
From: g8, to: f7, capture: false, promotion: none, en passant: false
From: g8, to: g7, capture: false, promotion: none, en passant: false
From: g8, to: h7, capture: true, promotion: none, en passant: false
From: g8, to: f8, capture: false, promotion: none, en passant: false
From: g8, to: h8, capture: false, promotion: none, en passant: false

Total moves: 36
